competitorId,competitorName,firstName,lastName,gender,genderId,age,ageNull,height,heightNull,weight,weightNull,bmi,bmiNull,affiliateName,affiliateId,countryOfOriginName,countryOfOriginCode,regionName,regionId,status,statusId,year,overallRank,overallScore,openCompetitor,openRank,openScore,gamesCompetitions,openCompetitions
764556,Gabriela Migała,Gabriela,Migała,F,2,22,0,170.0,0,75.0,0,25.95155709342561,0,C23 CrossFit,12162,Poland,26,Europe,4,ACT,1,2021,6,972,1,12,330,1,3
764556,Gabriela Migała,Gabriela,Migała,F,2,23,0,170.0,0,75.0,0,25.95155709342561,0,C23 CrossFit,12162,Poland,26,Europe,4,ACT,1,2022,8,868,1,13,96,2,4
764556,Gabriela Migała,Gabriela,Migała,F,2,24,0,170.0,0,75.0,0,25.95155709342561,0,CrossFit 72D,7709,Poland,26,Europe,4,ACT,1,2023,0,0,1,14,418,2,5
768482,Amal Alshahrani,Amal,Alshahrani,F,2,34,0,165.0,0,68.0,0,24.977043158861342,0,CrossFit AlKhobar,16729,Saudi Arabia,79,Asia,6,CUT,4,2019,117,0,1,1000,5000,0,1
781908,William Sanchez,William,Sanchez,M,1,28,0,171.0,0,84.0,0,28.726787729557817,0,Training PIT CrossFit,1854,Costa Rica,84,Central America,2,CUT,4,2019,117,0,1,533,5000,0,1
796219,Hanna Karlsson,Hanna,Karlsson,F,2,26,0,177.0,0,81.0,0,25.854639471416256,0,CrossFit Riders,9535,Sweden,11,Europe,4,CUT,4,2019,37,132,0,1000,5000,1,1
811708,Justin Medeiros,Justin,Medeiros,M,1,21,0,176.0,0,89.0,0,28.731921487603305,0,CrossFit Fort Vancouver,1792,United States,1,North America,1,ACT,1,2020,3,560,1,68,776,1,1
811708,Justin Medeiros,Justin,Medeiros,M,1,22,0,176.0,0,89.0,0,28.731921487603305,0,CrossFit Fort Vancouver,1792,United States,1,North America,1,ACT,1,2021,1,1234,1,57,1156,2,2
811708,Justin Medeiros,Justin,Medeiros,M,1,23,0,176.0,0,89.0,0,28.731921487603305,0,CrossFit Fort Vancouver,1792,United States,1,North America,1,ACT,1,2022,1,1184,1,3,31,3,3
811708,Justin Medeiros,Justin,Medeiros,M,1,24,0,176.0,0,89.0,0,28.731921487603305,0,CrossFit Fort Vancouver,1792,United States,1,North America,1,ACT,1,2023,0,0,1,78,2236,3,4
831149,Matilde Garnes,Matilde,Garnes,F,2,26,0,174.0,0,70.0,0,23.120623596247853,0,CrossFit Trondheim,22538,Norway,13,Europe,4,ACT,1,2022,19,663,1,11,87,1,1
831149,Matilde Garnes,Matilde,Garnes,F,2,27,0,174.0,0,70.0,0,23.120623596247853,0,CrossFit Oslo,372,Norway,13,Europe,4,ACT,1,2023,0,0,1,102,1356,1,2
839047,Keith Nhan,Keith,Nhan,M,1,31,0,163.0,0,64.0,0,24.088223117166624,0,AllSport CrossFit,2867,Viet Nam,107,Asia,6,CUT,4,2019,139,0,1,1000,5000,0,1
842919,Aleks Koštomaj,Aleks,Koštomaj,M,1,26,0,180.0,0,87.0,0,26.85185185185185,0,Reebok CrossFit Ljubljana,10057,Slovenia,29,Europe,4,CUT,4,2019,47,90,1,1000,5000,1,1
843041,Nick Mathew,Nick,Mathew,M,1,28,0,176.0,0,91.0,0,29.3775826446281,0,CrossFit Minnetonka,14452,United States,1,North America,1,ACT,1,2022,14,728,1,208,1249,1,1
843041,Nick Mathew,Nick,Mathew,M,1,29,0,176.0,0,91.0,0,29.3775826446281,0,CrossFit Minnetonka,14452,United States,1,North America,1,ACT,1,2023,0,0,1,12,778,1,2
844066,Marzougui Mootez,Marzougui,Mootez,M,1,28,0,172.0,0,76.0,0,25.689561925365066,0,,0,Tunisia,48,Africa,5,CUT,4,2019,74,3,1,1000,5000,1,1
848265,Chaker Alouni,Chaker,Alouni,M,1,30,0,181.0,0,86.0,0,26.25072494734593,0,CrossFit TANKA,14979,Algeria,87,Africa,5,CUT,4,2019,120,0,1,1000,5000,0,1
849478,Shingo Moromasa,Shingo,Moromasa,M,1,32,0,150.0,0,84.0,0,37.333333333333336,0,BeeGrow CrossFit,20973,Japan,7,Asia,6,CUT,4,2019,64,31,1,705,5000,1,1
851037,Pack Santos,Pack,Santos,M,1,29,0,175.0,0,74.0,0,24.163265306122447,0,,0,Mozambique,96,Africa,5,CUT,4,2019,128,0,1,1000,5000,0,1
855131,Nicole Pettel,Nicole,Pettel,F,2,27,0,161.0,0,69.0,0,26.61934338952972,0,CrossFit White City,4795,Israel,86,Asia,6,CUT,4,2019,62,28,1,410,4415,1,1
858387,Augustin Vilicnik,Augustin,Vilicnik,M,1,29,0,181.0,0,95.0,0,28.997893837184456,0,,0,Croatia,38,Europe,4,CUT,4,2019,63,31,1,1000,5000,1,1
867741,Jack Farlow,Jack,Farlow,M,1,21,0,186.0,0,96.0,0,27.748872702046476,0,CrossFit PSC,21726,Canada,5,North America,1,ACT,1,2023,0,0,1,30,1301,0,1
871307,McKenzie Flinchum,McKenzie,Flinchum,F,2,27,0,166.0,0,66.0,0,23.95122659311947,0,CrossFit Vero Beach,701,United States,1,North America,1,CUT,4,2019,48,69,1,17,302,1,1
872275,Caroline Stanley,Caroline,Stanley,F,2,23,0,161.0,0,66.0,0,25.461980633463213,0,College Hill CrossFit,3617,United States,1,North America,1,ACT,1,2023,0,0,1,175,2163,0,1
872448,Charity Vale,Charity,Vale,F,2,33,0,165.37482517482516,1,65.66385372714487,1,24.01308087921364,1,,0,,0,,0,ACT,1,2009,2,72,0,1000,5000,1,1
881332,Tommy Vinas,Tommy,Vinas,M,1,20,0,181.0,0,98.0,0,29.913616800463966,0,,0,United States,1,North America,1,ACT,1,2017,32,378,1,212,2123,1,1
887297,Emma Tall,Emma,Tall,F,2,27,0,168.0,0,68.0,0,24.092970521541954,0,CrossFit Kungsholmen,9534,Sweden,11,Europe,4,CUT,4,2019,31,168,0,1000,5000,1,1
887297,Emma Tall,Emma,Tall,F,2,29,0,168.0,0,68.0,0,24.092970521541954,0,CrossFit Karlstad,12,Sweden,11,Europe,4,ACT,1,2021,19,566,1,42,716,2,1
887297,Emma Tall,Emma,Tall,F,2,31,0,168.0,0,68.0,0,24.092970521541954,0,High Performance CrossFit,29213,Sweden,11,Europe,4,ACT,1,2023,0,0,1,43,715,2,2
888668,Luka Đukić,Luka,Đukić,M,1,22,0,181.0,0,92.0,0,28.082170873904946,0,CrossFit NS,11487,Serbia,114,Europe,4,CUT,4,2021,29,312,1,74,1460,1,1
889971,Melanie Yip Woon Sun,Melanie,Yip Woon Sun,F,2,33,0,165.0,0,77.0,0,28.282828282828287,0,UPT CrossFit,5735,Mauritius,115,Africa,5,CUT,4,2019,129,0,1,1000,5000,0,1
893554,Michelle Basnett,Michelle,Basnett,F,2,24,0,163.0,0,69.0,0,25.970115548195267,0,CrossFit Cornelius,8492,South Africa,9,Africa,5,CUT,4,2021,32,296,1,188,2122,1,1
893554,Michelle Basnett,Michelle,Basnett,F,2,26,0,163.0,0,69.0,0,25.970115548195267,0,CrossFit Charlotte,931,South Africa,9,Africa,5,ACT,1,2023,0,0,1,212,2451,1,2
893571,Tsai-Jui Hung,Tsai-Jui,Hung,F,2,26,0,163.0,0,63.0,0,23.711844630960897,0,CrossFit X Ray,20308,China,24,Asia,6,CUT,4,2019,105,0,1,805,5000,0,1
897110,Tudor Magda,Tudor,Magda,M,1,19,0,178.0,0,91.0,0,28.721121070571897,0,Lion Brave CrossFit,22721,United States,1,North America,1,CUT,4,2022,34,338,1,70,464,1,1
899345,Citra Ramaniya,Citra,Ramaniya,F,2,36,0,158.0,0,59.0,0,23.634033007530842,0,CrossFit Limburg,7754,Indonesia,81,Asia,6,CUT,4,2019,86,0,1,1000,5000,0,1
900251,James Sprague,James,Sprague,M,1,21,0,188.0,0,96.0,0,27.16161158895428,0,CrossFit Naples,1893,United States,1,North America,1,ACT,1,2023,0,0,1,168,3299,0,1
901467,Kealan Henry,Kealan,Henry,M,1,29,0,168.0,0,80.0,0,28.344671201814062,0,CrossFit HFS,29491,South Africa,9,Africa,5,WD,2,2022,40,62,1,24,217,1,1
901503,Kaique Cerveny,Kaique,Cerveny,M,1,25,0,150.0,0,96.0,0,42.666666666666664,0,CrossFit Lago Sul,32095,Brazil,19,South America,3,ACT,1,2023,0,0,1,162,3173,0,1
901702,Stas Solodov,Stas,Solodov,M,1,36,0,175.0,0,85.0,0,27.755102040816325,0,CrossFit Geraklion,5808,Russian Federation,20,Asia,6,ACT,1,2021,39,0,1,13,548,0,1
901899,Ehea Schuerch,Ehea,Schuerch,F,2,29,0,171.0,0,72.0,0,24.622960911049557,0,CrossFit Spokane Valley,967,United States,1,North America,1,ACT,1,2018,17,634,1,115,2009,1,1
907105,Sebastian Rodriguez,Sebastian,Rodriguez,M,1,22,0,170.0,0,80.0,0,27.68166089965398,0,,0,Ecuador,69,South America,3,CUT,4,2019,100,0,1,1000,5000,0,1
915210,Jovaldo Miranda,Jovaldo,Miranda,M,1,30,0,167.0,0,81.0,0,29.043708989207214,0,PUL CrossFit,23115,Peru,80,South America,3,CUT,4,2019,113,0,1,812,5000,0,1
916290,David Morley,David,Morley,M,1,28,0,186.0,0,89.0,0,25.725517400855587,0,,0,Bahamas,76,South America,3,CUT,4,2019,109,0,1,1000,5000,0,1
921544,Edem Ahiaku,Edem,Ahiaku,M,1,28,0,175.0,0,84.0,0,27.428571428571427,0,CrossFit Leeds,3022,Ghana,82,Africa,5,CUT,4,2019,115,0,1,1000,5000,0,1
922058,Cricel Castillo,Cricel,Castillo,F,2,30,0,153.0,0,55.0,0,23.49523687470631,0,CrossFit San Pedro Town,22730,Belize,53,Central America,2,CUT,4,2019,83,0,1,1000,5000,0,1
925870,Moritz Fiebig,Moritz,Fiebig,M,1,27,0,179.0,0,95.0,0,29.64951156330951,0,,0,Germany,18,Europe,4,CUT,4,2022,36,304,1,213,1278,1,1
925870,Moritz Fiebig,Moritz,Fiebig,M,1,28,0,179.0,0,95.0,0,29.64951156330951,0,CrossFit Sankt Pauli,32297,Germany,18,Europe,4,ACT,1,2023,0,0,1,172,3336,1,2
926366,Jelle Hoste,Jelle,Hoste,M,1,28,0,190.0,0,98.0,0,27.146814404432135,0,CrossFit Kortrijk,14886,Belgium,32,Europe,4,ACT,1,2023,0,0,1,392,5000,0,1
929317,Enrico Zenoni,Enrico,Zenoni,M,1,24,0,178.0,0,86.0,0,27.143037495265748,0,CrossFit Adamantio,10294,Italy,93,Europe,4,ACT,1,2022,29,443,1,76,503,1,1
935227,Jen Gonzales,Jen,Gonzales,F,2,25,0,165.37482517482516,1,65.66385372714487,1,24.01308087921364,1,,0,,0,,0,ACT,1,2008,18,27,0,1000,5000,1,1
953791,Shahad Budebs,Shahad,Budebs,F,2,24,0,161.0,0,60.0,0,23.147255121330193,0,CrossFit MetaliZe,11599,United Arab Emirates,12,Asia,6,CUT,4,2019,84,0,1,1000,5000,0,1
953791,Shahad Budebs,Shahad,Budebs,F,2,28,0,160.0,0,60.0,0,23.437499999999996,0,CrossFit Moon,31536,United Arab Emirates,12,Asia,6,ACT,1,2023,0,0,1,323,3486,0,2
971185,Andrew Swartz,Andrew,Swartz,M,1,22,0,173.0,0,75.0,0,25.05930702662969,0,,0,,0,,0,CUT,4,2009,23,133,0,1000,5000,1,2
975294,Mishka Murad,Mishka,Murad,F,2,34,0,163.0,0,57.0,0,21.453573713726524,0,Norwottuck CrossFit,21020,Pakistan,100,Asia,6,CUT,4,2019,123,0,1,1000,5000,0,1
975774,Roman Khrennikov,Roman,Khrennikov,M,1,23,0,182.0,0,103.0,0,31.095278348025598,0,Sever CrossFit,13032,Russian Federation,20,Asia,6,ACT,1,2018,40,0,1,134,3012,0,1
975774,Roman Khrennikov,Roman,Khrennikov,M,1,25,0,182.0,0,103.0,0,31.095278348025598,0,,0,Russian Federation,20,Asia,6,ACT,1,2020,13,0,1,10,189,0,2
975774,Roman Khrennikov,Roman,Khrennikov,M,1,26,0,182.0,0,103.0,0,31.095278348025598,0,,0,Russian Federation,20,Asia,6,ACT,1,2021,40,0,1,63,1304,0,3
975774,Roman Khrennikov,Roman,Khrennikov,M,1,27,0,182.0,0,103.0,0,31.095278348025598,0,,0,Russian Federation,20,Asia,6,ACT,1,2022,2,1157,1,138,856,1,4
975774,Roman Khrennikov,Roman,Khrennikov,M,1,28,0,182.0,0,103.0,0,31.095278348025598,0,CrossFit Mayhem,3220,United States,1,North America,1,ACT,1,2023,0,0,1,17,935,1,5
978472,Fernanda Saavedra,Fernanda,Saavedra,F,2,26,0,161.0,0,69.0,0,26.61934338952972,0,Freakin CrossFit,2612,Nicaragua,99,Central America,2,CUT,4,2019,79,0,1,1000,5000,0,1
998366,Ella Wunger,Ella,Wunger,F,2,25,0,170.0,0,70.0,0,24.221453287197235,0,C23 CrossFit,12162,Sweden,11,Europe,4,ACT,1,2023,0,0,1,28,583,0,1
1018713,Laura Clifton,Laura,Clifton,F,2,26,0,162.0,0,75.0,0,28.577960676726104,0,,0,New Zealand,2,Oceania,7,ACT,1,2020,26,0,1,91,908,0,1
1018713,Laura Clifton,Laura,Clifton,F,2,26,0,162.0,0,75.0,0,28.577960676726104,0,CrossFit Awaside,26488,New Zealand,2,Oceania,7,CUT,4,2021,24,416,1,91,1234,1,2
1019212,Svetlana Kubyshkina,Svetlana,Kubyshkina,F,2,30,0,155.0,0,60.0,0,24.97398543184183,0,Backstage CrossFit,17189,Russian Federation,20,Asia,6,ACT,1,2021,40,0,1,79,1134,0,1
1020449,Jayson Hopper,Jayson,Hopper,M,1,23,0,186.0,0,100.0,0,28.905075731298414,0,CrossFit Simpsonville,21951,United States,1,North America,1,ACT,1,2021,19,701,1,19,630,1,1
1020449,Jayson Hopper,Jayson,Hopper,M,1,24,0,186.0,0,100.0,0,28.905075731298414,0,CrossFit Crash,15471,United States,1,North America,1,ACT,1,2022,7,887,1,16,148,2,2
1020449,Jayson Hopper,Jayson,Hopper,M,1,25,0,186.0,0,100.0,0,28.905075731298414,0,CrossFit Crash,15471,United States,1,North America,1,ACT,1,2023,0,0,1,35,1436,2,3
1023069,Whitney Welsch,Whitney,Welsch,F,2,45,0,166.0,0,62.0,0,22.49963710262738,0,,0,,0,,0,CUT,4,2010,21,111,0,1000,5000,1,3
1037933,Sanaa Mandar,Sanaa,Mandar,F,2,31,0,166.0,0,66.0,0,23.95122659311947,0,CrossFit Ain Diab,21870,Morocco,75,South America,3,CUT,4,2019,107,0,1,1000,5000,0,1
1038984,Jen Cardella,Jen,Cardella,F,2,17,0,165.37482517482516,1,65.66385372714487,1,24.01308087921364,1,,0,,0,,0,CUT,4,2010,26,92,0,1000,5000,1,1
